host name,Email address,Email,Address,City,state,country,Postal code,phone number,first name,last name,personal email,longitude,latitude
Gemeente Aa en Hunze,aa@straat.info,gemeente@aaenhunze.nl,Postbus 93,GIETEN,nvt,Nederland,9460 AB,14 0592,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Aalsmeer,aalsmeer@straat.info,info@aalsmeer.nl,Postbus 253,AALSMEER,nvt,Nederland,1430 AG,(0297) 38 75 75,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Aalten,aalten@straat.info,gemeente@aalten.nl,Postbus 119,AALTEN,nvt,Nederland,7120 AC,(0543) 49 33 33,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Achtkarspelen,achtkarspelen@straat.info,gemeente@achtkarspelen.nl,Postbus 2,BUITENPOST,nvt,Nederland,9285 ZV,14 0511,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Alblasserdam,alblasserdam@straat.info,bestuurssecretariaat@alblasserdam.nl,Postbus 2,ALBLASSERDAM,nvt,Nederland,2950 AA,14 078,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Albrandswaard,albrandswaard@straat.info,info@albrandswaard.nl,Postbus 1000,RHOON,nvt,Nederland,3160 GA,(010) 506 11 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Alkmaar,alkmaar@straat.info,post@alkmaar.nl,Postbus 53,ALKMAAR,nvt,Nederland,1800 BC,14 072,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Almelo,almelo@straat.info,Gemeente@almelo.nl,Postbus 5100,ALMELO,nvt,Nederland,7600 GC,(0546) 54 11 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Almere,almere@straat.info,info@almere.nl,Postbus 200,ALMERE,nvt,Nederland,1300 AE,14 036,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Alphen aan den Rijn,alphenaandenrijn@straat.info,gemeente@alphenaandenrijn.nl,Postbus 13,ALPHEN AAN DEN RIJN,nvt,Nederland,2400 AA,14 0172,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Alphen-Chaam,alphenchaam@straat.info,info@alphen-chaam.nl,Postbus 3,ALPHEN NB,nvt,Nederland,5130 AA,(013) 508 66 66,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Altena,info@gemeentealtena.nl,info@gemeentealtena.nl,Postbus 5,Almkerk,nvt,Nederland,4286 ZG,(0183) 51 61 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
