host name,Address,Postal code,City,Email address,phone number
Gemeente Aa en Hunze,Postbus 93,9460 AB,GIETEN,aa@straat.info,14 0592
Gemeente Aalburg,Postbus 40,4260 AA,WIJK EN AALBURG,aalburg@straat.info,(0416) 69 87 00
Gemeente Aalsmeer,Postbus 253,1430 AG,AALSMEER,aalsmeer@straat.info,(0297) 38 75 75
Gemeente Aalten,Postbus 119,7120 AC,AALTEN,aalten@straat.info,(0543) 49 33 33
Gemeente Achtkarspelen,Postbus 2,9285 ZV,BUITENPOST,achtkarspelen@straat.info,14 0511
Gemeente Alblasserdam,Postbus 2,2950 AA,ALBLASSERDAM,alblasserdam@straat.info,14 078
Gemeente Albrandswaard,Postbus 1000,3160 GA,RHOON,albrandswaard@straat.info,(010) 506 11 11
Gemeente Alkmaar,Postbus 53,1800 BC,ALKMAAR,alkmaar@straat.info,14072
Gemeente Almelo,Postbus 5100,7600 GC,ALMELO,almelo@straat.info,(0546) 54 11 11
Gemeente Almere,Postbus 200,1300 AE,ALMERE,almere@straat.info,14 036
Gemeente Alphen aan den Rijn,Postbus 13,2400 AA,ALPHEN AAN DEN RIJN,alphenaandenrijn@straat.info,14 0172
Gemeente Alphen-Chaam,Postbus 3,5130 AA,ALPHEN NB,alphenchaam@straat.info,(013) 508 66 66
Gemeente Ameland,Postbus 22,9160 AA,HOLLUM,ameland@straat.info,(0519) 55 55 55
Gemeente Amersfoort,Postbus 4000,3800 EA,AMERSFOORT,amersfoort@straat.info,14 033
Gemeente Amstelveen,Postbus 4,1180 BA,AMSTELVEEN,amstelveen@straat.info,(020) 540 49 11
Gemeente Amsterdam,Postbus 202,1000 AE,AMSTERDAM,amsterdam@straat.info,14 020
Gemeente Apeldoorn,Postbus 9033,7300 ES,APELDOORN,apeldoorn@straat.info,14 055
Gemeente Appingedam,Postbus 15,9900 AA,APPINGEDAM,appingedam@straat.info,14 0596
Gemeente Arnhem,Postbus 9029,6800 EL,ARNHEM,arnhem@straat.info,0900 1809
Gemeente Assen,Postbus 30018,9400 RA,ASSEN,assen@straat.info,(0592) 36 69 11
Gemeente Asten,Postbus 290,5720 AG,ASTEN,asten@straat.info,(0493) 67 12 12
Gemeente Baarle-Nassau,Postbus 105,5110 AC,BAARLE-NASSAU,baarle@straat.info,(013) 507 52 00
