hostName,alternateHostName,email,houseNumber,street ,address,city,state,country,postalCode,phoneNumber,fname,lname,personalEmail,long,lat
Gemeente Aa en Hunze,,aa@straat.info,,,Postbus 93,GIETEN,nvt,Nederland,9460 AB,14 0592,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Aalsmeer,,aalsmeer@straat.info,,,Postbus 253,AALSMEER,nvt,Nederland,1430 AG,(0297) 38 75 75,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Aalten,,aalten@straat.info,,,Postbus 119,AALTEN,nvt,Nederland,7120 AC,(0543) 49 33 33,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Achtkarspelen,,achtkarspelen@straat.info,,,Postbus 2,BUITENPOST,nvt,Nederland,9285 ZV,14 0511,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Alblasserdam,,alblasserdam@straat.info,,,Postbus 2,ALBLASSERDAM,nvt,Nederland,2950 AA,14 078,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Albrandswaard,,albrandswaard@straat.info,,,Postbus 1000,RHOON,nvt,Nederland,3160 GA,(010) 506 11 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Alkmaar,,alkmaar@straat.info,,,Postbus 53,ALKMAAR,nvt,Nederland,1800 BC,14 072,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Almelo,,almelo@straat.info,,,Postbus 5100,ALMELO,nvt,Nederland,7600 GC,(0546) 54 11 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Almere,,almere@straat.info,,,Postbus 200,ALMERE,nvt,Nederland,1300 AE,14 036,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Alphen aan den Rijn,,alphenaandenrijn@straat.info,,,Postbus 13,ALPHEN AAN DEN RIJN,nvt,Nederland,2400 AA,14 0172,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Alphen-Chaam,,alphenchaam@straat.info,,,Postbus 3,ALPHEN NB,nvt,Nederland,5130 AA,(013) 508 66 66,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Altena,,info@gemeentealtena.nl,,,Postbus 5,Almkerk,nvt,Nederland,4286 ZG,(0183) 51 61 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Ameland,,ameland@straat.info,,,Postbus 22,HOLLUM,nvt,Nederland,9160 AA,(0519) 55 55 55,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Amersfoort,,amersfoort@straat.info,,,Postbus 4000,AMERSFOORT,nvt,Nederland,3800 EA,14 033,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Amstelveen,,amstelveen@straat.info,,,Postbus 4,AMSTELVEEN,nvt,Nederland,1180 BA,(020) 540 49 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Amsterdam,,amsterdam@straat.info,,,Postbus 202,AMSTERDAM,nvt,Nederland,1000 AE,14 020,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Apeldoorn,,apeldoorn@straat.info,,,Postbus 9033,APELDOORN,nvt,Nederland,7300 ES,14 055,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Appingedam,,appingedam@straat.info,,,Postbus 15,APPINGEDAM,nvt,Nederland,9900 AA,14 0596,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Arnhem,,arnhem@straat.info,,,Postbus 9029,ARNHEM,nvt,Nederland,6800 EL,0900 1809,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Assen,,assen@straat.info,,,Postbus 30018,ASSEN,nvt,Nederland,9400 RA,(0592) 36 69 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Asten,,asten@straat.info,,,Postbus 290,ASTEN,nvt,Nederland,5720 AG,(0493) 67 12 12,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Baarle-Nassau,,baarle@straat.info,,,Postbus 105,BAARLE-NASSAU,nvt,Nederland,5110 AC,(013) 507 52 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Baarn,,baarn@straat.info,,,Postbus 1003,BAARN,nvt,Nederland,3740 BA,(035) 548 16 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Barendrecht,,barendrecht@straat.info,,,Postbus 501,BARENDRECHT,nvt,Nederland,2990 EA,14 0180,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Barneveld,,barneveld@straat.info,,,Postbus 63,BARNEVELD,nvt,Nederland,3770 AB,14 0342,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Beek,,beek@straat.info,,,Postbus 20,BEEK LB,nvt,Nederland,6190 AA,(046) 438 92 22,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Beekdaelen,,gemeente@beekdaelen.nl,,,Postbus 22000,Nuth,nvt,Nederland,6360 AA,088 - 450 2000,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Beemster,,beemster@straat.info,,,Postbus 7,MIDDENBEEMSTER,nvt,Nederland,1462 ZG,(0299) 68 21 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Beesel,,beesel@straat.info,,,Postbus 4750,REUVER,nvt,Nederland,5953 ZK,(077) 474 92 92,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Berg en Dal,,bergendal@straat.info,,,Dorpsplein 1,GROESBEEK,nvt,Nederland,6562 AH,14024,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Bergeijk,,bergeijk@straat.info,,,Postbus 10000,BERGEIJK,nvt,Nederland,5570 GA,(0497) 55 14 55,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Bergen L,,bergenLIMBURG@straat.info,,,Postbus 140,BERGEN LB,nvt,Nederland,5854 ZJ,(0485) 34 83 83,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Bergen (NH),,bergenNOORDHOLLAND@straat.info,,,Postbus 175,BERGEN NH,nvt,Nederland,1860 AD,(072) 888 00 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Bergen op Zoom,,bergenopzoom@straat.info,,,Postbus 35,BERGEN OP ZOOM,nvt,Nederland,4600 AA,(0164) 27 70 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Berkelland,,berkelland@straat.info,,,Postbus 200,BORCULO,nvt,Nederland,7270 HA,(0545) 25 02 50,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Bernheze,,bernheze@straat.info,,,Postbus 19,HEESCH,nvt,Nederland,5384 ZG,(0412) 45 88 88,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Best,,best@straat.info,,,Postbus 50,BEST,nvt,Nederland,5680 AB,(0499) 36 09 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Beuningen,,beuningen@straat.info,,,Postbus 14,BEUNINGEN GLD,nvt,Nederland,6640 AA,14 024,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Beverwijk,,beverwijk@straat.info,,,Postbus 450,BEVERWIJK,nvt,Nederland,1940 AL,(0251) 25 62 56,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Bladel,,bladel@straat.info,,,Postbus 11,BLADEL,nvt,Nederland,5530 AA,(0497) 36 16 36,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Blaricum,,blaricum@straat.info,,,Postbus 71,EEMNES,nvt,Nederland,3755 ZH,(035) 751 32 22,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Bloemendaal,,bloemendaal@straat.info,,,Postbus 201,OVERVEEN,nvt,Nederland,2050 AE,14 023,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Bodegraven-Reeuwijk,,bodegraven@straat.info,,,Postbus 401,BODEGRAVEN,nvt,Nederland,2410 AK,(0172) 52 25 22,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Boekel,,boekel@straat.info,,,Postbus 99,BOEKEL,nvt,Nederland,5427 ZH,(0492) 32 68 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Borger-Odoorn,,borger@straat.info,,,Postbus 3,EXLOO,nvt,Nederland,7875 ZG,14 0591,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Borne,,borne@straat.info,,,Postbus 200,BORNE,nvt,Nederland,7620 AE,(074) 265 86 86,first,last,personal@straat.info,4.3151,52.0612965
